primary_isin,year
US1268043015,2021
US1268043015,2019
US1268043015,2018
US1268043015,2020
US7496071074,2019
US7496071074,2020
US7496071074,2021
US7496071074,2018
US7167484051,2019
US7167484051,2020
US7167484051,2018
US7167484051,2021
US3722842081,2021
US3722842081,2020
US3722842081,2018
US3722842081,2019
US3142111034,2021
US3142111034,2020
US3142111034,2019
US3142111034,2018
US29977G1022,2021
US29977G1022,2020
US29977G1022,2019
US29977G1022,2018
US4491721050,2021
US4491721050,2020
US4491721050,2019
US4491721050,2018
US195869AC61,2021
US195869AC61,2020
US195869AC61,2019
US195869AC61,2018
US3020512063,2020
US3020512063,2019
US3020512063,2018
US3020512063,2021
US55277P1049,2021
US55277P1049,2020
US55277P1049,2019
US55277P1049,2018
US7274931085,2021
US7274931085,2020
US7274931085,2019
US7274931085,2018
US66987XAA37,2020
US66987XAA37,2019
US66987XAA37,2018
US66987XAA37,2021
US8882661031,2021
US8882661031,2020
US8882661031,2019
US8882661031,2018
US67020Y1001,2021
US67020Y1001,2020
US67020Y1001,2019
US67020Y1001,2018
US91018B1044,2021
US91018B1044,2020
US91018B1044,2019
US91018B1044,2018
US1713401024,2021
US1713401024,2020
US1713401024,2019
US1713401024,2018
US6821891057,2021
US6821891057,2020
US6821891057,2019
US6821891057,2018
US6026751007,2021
US6026751007,2020
US6026751007,2019
US6026751007,2018
US4851703029,2021
US4851703029,2020
US4851703029,2019
US4851703029,2018
US0528001094,2021
US0528001094,2020
US0528001094,2019
US0528001094,2018
US9668371068,2021
US9668371068,2020
US9668371068,2019
US9668371068,2018
US1501851067,2021
US1501851067,2020
US1501851067,2019
US1501851067,2018
US7595301083,2021
US7595301083,2020
US7595301083,2019
US7595301083,2018
US0304201033,2021
US0304201033,2020
US0304201033,2019
US0304201033,2018
US3986351027,2021
US3986351027,2020
US3986351027,2019
US3986351027,2018
US29472R1086,2021
US29472R1086,2020
US29472R1086,2019
US29472R1086,2018
US98420V1070,2021
US98420V1070,2020
US98420V1070,2019
US98420V1070,2018
US42330P1075,2021
US42330P1075,2020
US42330P1075,2019
US42330P1075,2018
US86768K1060,2021
US86768K1060,2020
US86768K1060,2019
US86768K1060,2018
US4443981018,2021
US4443981018,2020
US4443981018,2019
US4443981018,2018
US8851753074,2021
US8851753074,2020
US8851753074,2019
US8851753074,2018
US75971T3014,2021
US75971T3014,2020
US75971T3014,2019
US75971T3014,2018
US6411491094,2021
US6411491094,2020
US6411491094,2019
US6411491094,2018
US8385181081,2021
US8385181081,2020
US8385181081,2019
US8385181081,2018
US8318652091,2021
US8318652091,2020
US8318652091,2019
US8318652091,2018
US1940141062,2021
US1940141062,2020
US1940141062,2019
US1940141062,2018
US02913V1035,2021
US02913V1035,2020
US02913V1035,2019
US02913V1035,2018
US2976021046,2021
US2976021046,2020
US2976021046,2019
US2976021046,2018
US29285XAD49,2021
US29285XAD49,2020
US29285XAD49,2019
US29285XAD49,2018
US3498531017,2021
US3498531017,2020
US3498531017,2019
US3498531017,2018
US98978V1035,2021
US98978V1035,2020
US98978V1035,2019
US98978V1035,2018
US7617631012,2021
US7617631012,2020
US7617631012,2019
US7617631012,2018
US2270461096,2021
US2270461096,2020
US2270461096,2019
US2270461096,2018
US5962781010,2021
US5962781010,2020
US5962781010,2019
US5962781010,2018
US1212201073,2021
US1212201073,2020
US1212201073,2019
US1212201073,2018
US12663P1075,2021
US12663P1075,2020
US12663P1075,2019
US12663P1075,2018
US6740012017,2021
US6740012017,2020
US6740012017,2019
US6740012017,2018
US69318G1067,2021
US69318G1067,2020
US69318G1067,2019
US69318G1067,2018
US81762P1021,2021
US81762P1021,2020
US81762P1021,2019
US81762P1021,2018
US01988P1084,2021
US01988P1084,2020
US01988P1084,2019
US01988P1084,2018
US0207811003,2021
US0207811003,2020
US0207811003,2019
US0207811003,2018
US20602D1019,2021
US20602D1019,2020
US20602D1019,2019
US20602D1019,2018
US71645WAH43,2021
US71645WAH43,2020
US71645WAH43,2019
US71645WAH43,2018
US45867G1013,2021
US45867G1013,2020
US45867G1013,2019
US45867G1013,2018
US92275P3073,2021
US92275P3073,2020
US92275P3073,2019
US92275P3073,2018
US5010441013,2021
US5010441013,2020
US5010441013,2019
US5010441013,2018
US9103401082,2021
US9103401082,2020
US9103401082,2019
US9103401082,2018
US87166FAA12,2021
US87166FAA12,2020
US87166FAA12,2019
US87166FAA12,2018
US6954591078,2021
US6954591078,2020
US6954591078,2019
US6954591078,2018
US6935061076,2021
US6935061076,2020
US6935061076,2019
US6935061076,2018
US82669G1040,2021
US82669G1040,2020
US82669G1040,2019
US82669G1040,2018
US89469A1043,2021
US89469A1043,2020
US89469A1043,2019
US89469A1043,2018
US49271M1009,2021
US49271M1009,2020
US49271M1009,2019
US49271M1009,2018
US5179231080,2021
US5179231080,2020
US5179231080,2019
US5179231080,2018
US2381131042,2021
US2381131042,2020
US2381131042,2019
US2381131042,2018
US7703231032,2021
US7703231032,2020
US7703231032,2019
US7703231032,2018
US78410G1040,2021
US78410G1040,2020
US78410G1040,2019
US78410G1040,2018
US6806652052,2021
US6806652052,2020
US6806652052,2019
US6806652052,2018
US7033951036,2021
US7033951036,2020
US7033951036,2019
US7033951036,2018
US9406101082,2021
US9406101082,2020
US9406101082,2019
US9406101082,2018
US2615701057,2021
US2615701057,2020
US2615701057,2019
US2615701057,2018
US75605L7082,2021
US75605L7082,2020
US75605L7082,2019
US75605L7082,2018
US46627J3023,2021
US46627J3023,2020
US46627J3023,2019
US46627J3023,2018
US50183L1070,2021
US50183L1070,2020
US50183L1070,2019
US50183L1070,2018
US0126531013,2021
US0126531013,2020
US0126531013,2019
US0126531013,2018
US9718071023,2021
US9718071023,2020
US9718071023,2019
US9718071023,2018
US5763231090,2021
US5763231090,2020
US5763231090,2019
US5763231090,2018
US913366AA83,2021
US913366AA83,2020
US913366AA83,2019
US913366AA83,2018
US48242W1062,2021
US48242W1062,2020
US48242W1062,2019
US48242W1062,2018
US37253A1034,2021
US37253A1034,2020
US37253A1034,2019
US37253A1034,2018
US43785V1026,2021
US43785V1026,2020
US43785V1026,2019
US43785V1026,2018
US03600T1043,2021
US03600T1043,2020
US03600T1043,2019
US03600T1043,2018
US57722W1062,2021
US57722W1062,2020
US57722W1062,2019
US57722W1062,2018
US00404A1097,2021
US00404A1097,2020
US00404A1097,2019
US00404A1097,2018
US6010731098,2021
US6010731098,2020
US6010731098,2019
US6010731098,2018
US0347541015,2021
US0347541015,2020
US0347541015,2019
US0347541015,2018
US2956251076,2021
US2956251076,2020
US2956251076,2019
US2956251076,2018
US17888H1032,2021
US17888H1032,2020
US17888H1032,2019
US17888H1032,2018
US5764852050,2021
US5764852050,2020
US5764852050,2019
US5764852050,2018
US79970Y1055,2021
US79970Y1055,2020
US79970Y1055,2019
US79970Y1055,2018
US1894641000,2021
US1894641000,2020
US1894641000,2019
US1894641000,2018
US58513U1016,2021
US58513U1016,2020
US58513U1016,2019
US58513U1016,2018
US87582Y1082,2021
US87582Y1082,2020
US87582Y1082,2019
US87582Y1082,2018
US1413371055,2021
US1413371055,2020
US1413371055,2019
US1413371055,2018
US39679B1035,2021
US39679B1035,2020
US39679B1035,2019
US39679B1035,2018
US40171V1008,2021
US40171V1008,2020
US40171V1008,2019
US40171V1008,2018
US9304271094,2021
US9304271094,2020
US9304271094,2019
US9304271094,2018
US8060371072,2021
US8060371072,2020
US8060371072,2019
US8060371072,2018
US7627601062,2021
US7627601062,2020
US7627601062,2019
US7627601062,2018
US3616522096,2021
US3616522096,2020
US3616522096,2019
US3616522096,2018
US9604131022,2021
US9604131022,2020
US9604131022,2019
US9604131022,2018
US0162551016,2021
US0162551016,2020
US0162551016,2019
US0162551016,2018
US55354G1004,2021
US55354G1004,2019
US55354G1004,2018
US55354G1004,2020
US63607P2083,2019
US63607P2083,2021
US63607P2083,2018
US63607P2083,2020
US0379331087,2021
US0379331087,2018
US0379331087,2020
US0379331087,2019
US26852W1036,2021
US26852W1036,2019
US26852W1036,2020
US26852W1036,2018
US42235N1081,2020
US42235N1081,2019
US42235N1081,2018
US42235N1081,2021
US651715AA20,2020
US651715AA20,2018
US651715AA20,2021
US651715AA20,2019
US13805AAA51,2021
US13805AAA51,2020
US13805AAA51,2019
US13805AAA51,2018
US29415B1035,2021
US29415B1035,2020
US29415B1035,2019
US29415B1035,2018
US69373H1068,2018
US69373H1068,2021
US69373H1068,2019
US69373H1068,2020
US1397941014,2021
US1397941014,2020
US1397941014,2019
US1397941014,2018
US37940X1028,2021
US37940X1028,2020
US37940X1028,2019
US37940X1028,2018
US6933202029,2021
US6933202029,2018
US6933202029,2019
US6933202029,2020
US84857L1017,2021
US84857L1017,2020
US84857L1017,2018
US84857L1017,2019
US3023011063,2021
US3023011063,2020
US3023011063,2018
US3023011063,2019
US0427351004,2020
US0427351004,2021
US0427351004,2018
US0427351004,2019
US5705351048,2020
US5705351048,2019
US5705351048,2018
US5705351048,2021
US69764K1060,2021
US69764K1060,2020
US69764K1060,2019
US69764K1060,2018
US1567821046,2021
US1567821046,2020
US1567821046,2019
US1567821046,2018
US16359R1032,2021
US16359R1032,2019
US16359R1032,2018
US16359R1032,2020
US82980K1079,2021
US82980K1079,2020
US82980K1079,2019
US82980K1079,2018
US03937R1023,2021
US03937R1023,2019
US03937R1023,2018
US03937R1023,2020
US6287781024,2021
US6287781024,2020
US6287781024,2019
US6287781024,2018
US81181C1045,2021
US81181C1045,2019
US81181C1045,2018
US81181C1045,2020
US9032361076,2021
US9032361076,2019
